,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
236,2,B3LYP,6-311++G**,6,6,69.096,71.279,55.433,57.616,4.54,6.06,4.437,5.957
237,2,B3LYP,6-311++G**,6,8,69.096,71.279,55.433,57.616,4.226,6.021,4.123,5.918
238,2,B3LYP,6-311++G**,6,10,69.096,71.279,55.433,57.616,4.223,5.941,4.12,5.838
239,2,B3LYP,6-311++G**,6,12,69.096,71.279,55.433,57.616,3.724,5.946,3.621,5.843
240,3,B3LYP,6-311++G**,1,1,68.349,68.349,54.788,54.788,7.274,7.274,7.106,7.106
241,3,B3LYP,6-311++G**,1,2,68.349,68.349,54.788,54.788,6.187,6.692,6.019,6.524
242,3,B3LYP,6-311++G**,1,3,68.349,68.349,54.788,54.788,5.389,5.41,5.221,5.242
243,3,B3LYP,6-311++G**,1,4,68.349,68.349,54.788,54.788,5.177,6.201,5.009,6.033
244,3,B3LYP,6-311++G**,1,6,68.349,68.349,54.788,54.788,4.629,6.149,4.461,5.981
245,3,B3LYP,6-311++G**,1,8,68.349,68.349,54.788,54.788,4.315,6.11,4.147,5.942
246,3,B3LYP,6-311++G**,1,10,68.349,68.349,54.788,54.788,4.312,6.03,4.144,5.862
247,3,B3LYP,6-311++G**,1,12,68.349,68.349,54.788,54.788,3.813,6.035,3.645,5.867
248,3,B3LYP,6-311++G**,2,1,68.702,68.824,55.141,55.263,7.274,7.274,7.106,7.106
249,3,B3LYP,6-311++G**,2,2,68.702,68.824,55.141,55.263,6.187,6.692,6.019,6.524
250,3,B3LYP,6-311++G**,2,3,68.702,68.824,55.141,55.263,5.389,5.41,5.221,5.242
251,3,B3LYP,6-311++G**,2,4,68.702,68.824,55.141,55.263,5.177,6.201,5.009,6.033
252,3,B3LYP,6-311++G**,2,6,68.702,68.824,55.141,55.263,4.629,6.149,4.461,5.981
