,configuration,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
206,6,B3LYP,6-31+G*,1,10,67.037,67.037,56.503,56.503,4.686,6.226,4.474,6.014
207,6,B3LYP,6-31+G*,1,12,67.037,67.037,56.503,56.503,4.335,6.22,4.123,6.008
208,6,B3LYP,6-31+G*,2,1,67.367,67.518,56.833,56.984,7.254,7.254,7.042,7.042
209,6,B3LYP,6-31+G*,2,2,67.367,67.518,56.833,56.984,6.354,6.816,6.142,6.604
210,6,B3LYP,6-31+G*,2,3,67.367,67.518,56.833,56.984,5.588,5.6,5.376,5.388
211,6,B3LYP,6-31+G*,2,4,67.367,67.518,56.833,56.984,5.495,6.408,5.283,6.196
212,6,B3LYP,6-31+G*,2,6,67.367,67.518,56.833,56.984,4.563,5.234,4.351,5.022
213,6,B3LYP,6-31+G*,2,8,67.367,67.518,56.833,56.984,4.724,6.309,4.512,6.097
214,6,B3LYP,6-31+G*,2,10,67.367,67.518,56.833,56.984,4.686,6.226,4.474,6.014
215,6,B3LYP,6-31+G*,2,12,67.367,67.518,56.833,56.984,4.335,6.22,4.123,6.008
216,6,B3LYP,6-31+G*,3,1,67.241,68.01,56.707,57.476,7.254,7.254,7.042,7.042
217,6,B3LYP,6-31+G*,3,2,67.241,68.01,56.707,57.476,6.354,6.816,6.142,6.604
218,6,B3LYP,6-31+G*,3,3,67.241,68.01,56.707,57.476,5.588,5.6,5.376,5.388
219,6,B3LYP,6-31+G*,3,4,67.241,68.01,56.707,57.476,5.495,6.408,5.283,6.196
220,6,B3LYP,6-31+G*,3,6,67.241,68.01,56.707,57.476,4.563,5.234,4.351,5.022
221,6,B3LYP,6-31+G*,3,8,67.241,68.01,56.707,57.476,4.724,6.309,4.512,6.097
222,6,B3LYP,6-31+G*,3,10,67.241,68.01,56.707,57.476,4.686,6.226,4.474,6.014
223,6,B3LYP,6-31+G*,3,12,67.241,68.01,56.707,57.476,4.335,6.22,4.123,6.008
224,6,B3LYP,6-31+G*,4,1,67.854,69.234,57.32,58.7,7.254,7.254,7.042,7.042
225,6,B3LYP,6-31+G*,4,2,67.854,69.234,57.32,58.7,6.354,6.816,6.142,6.604
226,6,B3LYP,6-31+G*,4,3,67.854,69.234,57.32,58.7,5.588,5.6,5.376,5.388
227,6,B3LYP,6-31+G*,4,4,67.854,69.234,57.32,58.7,5.495,6.408,5.283,6.196
228,6,B3LYP,6-31+G*,4,6,67.854,69.234,57.32,58.7,4.563,5.234,4.351,5.022
229,6,B3LYP,6-31+G*,4,8,67.854,69.234,57.32,58.7,4.724,6.309,4.512,6.097
230,6,B3LYP,6-31+G*,4,10,67.854,69.234,57.32,58.7,4.686,6.226,4.474,6.014
231,6,B3LYP,6-31+G*,4,12,67.854,69.234,57.32,58.7,4.335,6.22,4.123,6.008
232,6,B3LYP,6-31+G*,6,1,68.151,69.865,57.617,59.331,7.254,7.254,7.042,7.042
233,6,B3LYP,6-31+G*,6,2,68.151,69.865,57.617,59.331,6.354,6.816,6.142,6.604
234,6,B3LYP,6-31+G*,6,3,68.151,69.865,57.617,59.331,5.588,5.6,5.376,5.388
235,6,B3LYP,6-31+G*,6,4,68.151,69.865,57.617,59.331,5.495,6.408,5.283,6.196
236,6,B3LYP,6-31+G*,6,6,68.151,69.865,57.617,59.331,4.563,5.234,4.351,5.022
237,6,B3LYP,6-31+G*,6,8,68.151,69.865,57.617,59.331,4.724,6.309,4.512,6.097
238,6,B3LYP,6-31+G*,6,10,68.151,69.865,57.617,59.331,4.686,6.226,4.474,6.014
239,6,B3LYP,6-31+G*,6,12,68.151,69.865,57.617,59.331,4.335,6.22,4.123,6.008
240,1,B3LYP,6-311++G**,1,1,69.053,69.053,58.083,58.083,7.655,7.655,7.47,7.47
241,1,B3LYP,6-311++G**,1,2,69.053,69.053,58.083,58.083,6.568,7.073,6.383,6.888
242,1,B3LYP,6-311++G**,1,3,69.053,69.053,58.083,58.083,5.77,5.791,5.585,5.606
243,1,B3LYP,6-311++G**,1,4,69.053,69.053,58.083,58.083,5.558,6.582,5.373,6.397
244,1,B3LYP,6-311++G**,1,6,69.053,69.053,58.083,58.083,5.01,6.53,4.825,6.345
245,1,B3LYP,6-311++G**,1,8,69.053,69.053,58.083,58.083,4.696,6.491,4.511,6.306
246,1,B3LYP,6-311++G**,1,10,69.053,69.053,58.083,58.083,4.693,6.411,4.508,6.226
247,1,B3LYP,6-311++G**,1,12,69.053,69.053,58.083,58.083,4.194,6.416,4.009,6.231
248,1,B3LYP,6-311++G**,2,1,69.406,69.528,58.436,58.558,7.655,7.655,7.47,7.47
249,1,B3LYP,6-311++G**,2,2,69.406,69.528,58.436,58.558,6.568,7.073,6.383,6.888
250,1,B3LYP,6-311++G**,2,3,69.406,69.528,58.436,58.558,5.77,5.791,5.585,5.606
251,1,B3LYP,6-311++G**,2,4,69.406,69.528,58.436,58.558,5.558,6.582,5.373,6.397
252,1,B3LYP,6-311++G**,2,6,69.406,69.528,58.436,58.558,5.01,6.53,4.825,6.345
